"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Blinera";-;-;-;-;7;8
"Bogdana";328;327;324;318;317;320
"Bogdanka";30;30;30;30;30;29
"Bogica";-;-;-;5;5;5
"Bogomila";189;185;179;170;161;155
"Bogomila Marija";5;5;5;5;5;5
"Bogomira";218;213;212;207;204;199
"Bogomira Marija";8;7;6;5;5;5
"Bogumila";6;5;5;5;5;5
"Boja";51;51;49;49;50;48
"Bojana";2858;2857;2861;2867;2871;2871
"Bojanca";12;12;12;12;12;12
"Bojanka";87;86;86;86;86;83
"Bojka";17;17;18;16;16;16
"Boni";9;9;9;9;10;10
"Bora";18;18;19;19;18;18
"Borica";10;10;10;10;9;9
"Borislava";75;74;74;74;72;70
"Borislavka";19;19;19;19;20;20
"Borjana";10;10;10;12;12;13
"Borka";211;208;214;213;217;215
"Bosa";43;44;45;44;45;44
"Bosiljka";230;230;228;226;227;223
"Boška";5;5;5;5;5;5
"Boštjana";5;5;5;5;5;5
"Boža";506;507;505;496;493;489
"Božana";130;129;133;133;135;137
"Božanka";8;8;8;8;8;7
"Božena";720;714;706;691;684;678
"Božena Marija";13;13;12;12;12;12
"Božena Natalija";5;5;5;5;5;5
"Boženka";48;47;47;47;47;47
"Božica";454;449;449;446;446;441
"Božidara";191;188;183;179;178;173
"Božidara Marija";5;5;-;-;-;-
"Božidarka";20;20;21;22;21;21
"Božislava";61;59;59;58;57;56
"Brana";16;16;16;16;16;16
"Branimira";39;39;36;35;36;36
"Branislava";168;164;160;159;154;151
"Branislavka";13;13;13;13;13;14
"Branka";3399;3390;3385;3379;3370;3347
"Branka Marija";5;5;-;-;-;-
"Brankica";155;157;162;163;164;164
"Breda";2338;2327;2314;2299;2288;2277
"Breda Franèiška";-;5;5;5;5;5
"Breda Marija";47;47;47;44;44;43
"Bredica";10;10;10;10;10;10
"Briana";-;-;-;7;7;8
"Brigita";4134;4111;4097;4082;4072;4038
"Brigita Marija";11;10;10;10;10;10
"Brigitta";15;15;15;16;15;17
"Brigitte";22;22;22;22;21;20
"Brina";657;769;857;962;1062;1190
"Brita";6;6;7;7;9;9
"Bronislava";247;240;233;226;220;213
"Bronja";27;27;28;29;29;29
"Bronka";13;13;13;13;13;13
"Bruna";226;225;219;218;215;211
"Bruna Marija";7;7;7;7;7;6
"Brunislava";5;5;5;5;5;-
