"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Russian Federation";67451;4423;34620;-3422;38042;11040;142900;1524,915;116441;10671,206;4500;26135;21711;931126;937272;8780;6854;20840;2222,111;15550,114;2959;27278;24695;5351;5587
"Rwanda";-305;-5422;26649;444;26206;23063;9998;5625;140213;562580;7219;16247;21669;103753;103900;227;2306;264789;12387;1238,919;16;2360;2360;11571;11571
"Saint Kitts and Nevis";-151;-22408;31038;-7808;38847;163863;55;673;118609;12216,255;47;25592;48000;101347;107466;5197;603;1992;912;16557,439;1;-12288;-8015;50161;12073
"Saint Lucia";-203;-16190;25638;-4882;30520;62855;166;1252;112518;7557,856;-157;16125;32315;105649;105555;4217;3250;1623;2084;12574,861;3;19898;14456;17464;6785
"Saint Vincent and the Grenadines";-208;-30591;28944;-3909;32853;66235;109;681;132928;6221,786;-2318;-5356;25235;100700;101300;860;752;1507;1220;11148,295;2;-7440;-8388;-17780;2231
"Saudi Arabia";66751;12671;41613;2112;39500;8453;27137;526811;185133;19413,049;7434;43414;30743;114700;116172;5774;3801;2647;746272;27500,174;994;5109;973;1095;421
"Senegal";-568;-4411;21956;-5223;27178;35695;12434;12882;128156;1036,091;4281;25297;29708;99495;100785;4290;1229;267036;23849;1918,084;32;-5632;-5272;-1404;-334
"Serbia";-2486;-6777;42500;-3866;46365;46488;7291;36677;155023;5030,102;1007;10459;17236;114754;117514;10261;6153;38338;75170;10309,406;100;2906;2906;16825;16825
"Seychelles";-223;-22953;34975;-811;35787;81609;90;973;183726;10842,773;5643;13639;36592;208851;209656;405;-2400;5737;2047;22806,728;3;-5516;-2732;-9694;-6340
"Sierra Leone";-507;-19667;15218;-5002;20220;46847;5848;2578;148414;440847;5348;11423;31090;1253,813;1330,46;18397;17782;1629,294;6295;1076,372;8;39355;62114;15986;12410
"Singapore";62026;26770;21584;7365;14219;99327;5077;231697;110290;45639,352;14781;48185;21415;102797;104393;3967;2823;1081;292196;57556,352;389;18309;15895;19742;18612
"Slovakia";-3254;-3723;32309;-7661;39970;40988;5422;87402;106325;16120,596;4382;18812;22563;112219;113380;1305;704;552;119411;22024,445;159;17519;14882;17680;16023
"Slovenia";-66;-141;41691;-5351;47042;38712;2047;47084;146647;23001,883;1258;20500;20641;115200;114881;1847;1834;631;56194;27452,146;75;8344;7436;11955;10180
"Solomon Islands";-210;-30826;62625;6249;56376;27820;538;682;147057;1266,457;7834;5264;36090;147871;148041;775;947;3560;1544;2868,989;2;36981;44721;25311;29898
"South Africa";-10237;-2819;27324;-5138;32461;35831;50133;363198;144370;7244,716;3087;16410;19229;178781;181841;3486;4271;5081;523421;10440,687;697;8850;9556;6138;4534
"Spain";-62314;-4491;36724;-9701;46426;61656;46073;1387,427;100157;30113,763;-203;18331;22823;112902;115040;2861;2043;769;1359,107;29499,095;1810;12188;9340;15280;11704
"Sudan";-1359;-2071;19324;284;19040;73108;40134;65628;147191;1635,235;2529;18021;20091;143666;153043;15352;12990;1746;86682;2159,812;115;2042;2042;5432;5432
